label,company,address,city,state,zip,phone,fax,toll-free,website,description,employees,sales-volume,established,first-name-1,last-name-1,title-1,gender-1,first-name-2,last-name-2,title-2,gender-2,first-name-3,last-name-3,title-3,gender-3,first-name-4,last-name-4,title-4,gender-4,first-name-5,last-name-5,title-5,gender-5,first-name-6,last-name-6,title-6,gender-6,first-name-7,last-name-7,title-7,gender-07,first-name-08,last-name-8,title-8,gender-8,first-name-9,last-name-9,title-9,gender-9,first-name-10,last-name-10,title-10,gender-10,first-name-11,last-name-11,title-11,gender-11,first-name-12,last-name-12,title-12,gender-12,first-name-13,last-name-13,title-13,gender-13,first-name-14,last-name-14,title-14,gender-14,first-name-15,last-name-15,title-15,gender-15,first-name-16,last-name-16,title-16,gender-16,first-name-17,last-name-17,title-17,gender-17,first-name-18,last-name-18,title-18,gender-18,first-name-19,last-name-19,title-19,gender-19,first-name-20,last-name-20,title-20,gender-20,first-name-21,last-name-21,title-21,gender-21,first-name-22,last-name-22,title-22,gender-22,first-name-23,last-name-23,title-23,gender-23,first-name-24,last-name-24,title-24,gender-24,first-name-25,last-name-25,title-25,gender-25,first-name-26,last-name-26,title-26,gender-26,first-name-27,last-name-27,title-27,gender-27,first-name-28,last-name-28,title-28,gender-28,first-name-29,last-name-29,title-29,gender-29,first-name-30,last-name-30,title-30,gender-30,first-name-31,last-name-31,title-31,gender-31,first-name-32,last-name-32,title-32,gender-32,first-name-33,last-name-33,title-33,gender-33,first-name-34,last-name-34,title-34,gender-34,first-name-35,last-name-35,title-35,gender-35,first-name-36,last-name-36,title-36,gender-36,first-name-37,last-name-37,title-37,gender-37,first-name-38,last-name-38,title-38,gender-38,first-name-39,last-name-39,title-39,gender-39,first-name-40,last-name-40,title-40,gender-40,first-name-41,last-name-41,title-41,gender-41,first-name-42,last-name-42,title-42,gender-42,first-name-43,last-name-43,title-43,gender-43,first-name-44,last-name-44,title-44,gender-44,first-name-45,last-name-45,title-45,gender-45,first-name-46,last-name-46,title-46,gender-46,first-name-47,last-name-47,title-47,gender-47,first-name-48,last-name-48,title-48,gender-48,first-name-49,last-name-49,title-49,gender-49,first-name-50,last-name-50,title-50,gender-50
southern-concrete-materials,Southern Concrete Materials,35 Meadow Rd,Asheville,NC,28803,8282536421,8282543024,8002886421,Scmusa.Com,"Founded IN 1958, Southern Concrete Materials Is A Family-Owned And Operated Company That Supplies A Variety Of Ready-Mix Concrete And Precast Products. It Provides Junction Boxes, Septic Tanks, Well Pipes, Curb Bumpers, Water Troughs, Utility Vaults, Concrete Bags, Anchor Bolts, Sealers And Drainage Frames. The Company Is Also An Exclusive Dealer And Installer Of Redi-Rock Concrete Block And Wall Systems. Additionally, The Company Is An Official Dealer Of Kraft Tools. Southern Concrete Materials, With A Location IN Asheville, N.C., Operates More Than 30 Facilities IN Other Parts Of North Carolina. The Company Is Also Affiliated With The Carolinas Ready Mixed Concrete Association, The Georgia Concrete And Products Association, The National Ready Mixed Concrete Association And The Cabarrus Concrete Company.",150,"$54,891,000",1958,Jim,Combest,President,Male,James F,Combest,President,Male,Jeff,Lamm,Vice President,Male,Dave,Davis,Manager,Male,Donnie,Parsell,Manager,Male,Doris,Williams,Manager,Female,Gary,Gresh,HR Executive,Male,Andy,Cope,IT Executive,Male,Andrew,Crooks,IT,Male,Lynn,Wright,IT,Female,Jason,Greene,Operations,Male,Dennis,Hale,Operations,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southeastern-container-inc,Southeastern Container Inc,1250 Sand Hill Rd,Enka,NC,28728,8286332066,8286670122,,Secontainer.Com,"Southeastern Container Is Bottle Manufacturer That Has More Than 20 Production Lines And Works Almost Exclusively With Coca-Cola. The Company Manufactures Plastic Bottles For Popular Beverages Such As Coca-Cola, Diet Coke, Sprite And Dasani. IN 2004, Southeastern Initiated An Automated Guided Vehicle Program That Effectively Replaced The Need For Forklifts. This Sort Of Innovation Is An Example Of How Southeastern Container Uses Technology To Increase Efficiency IN Its Plants. Southeastern Container Is One Of The Largest Blowmolders Of Plastic Bottles IN The United States. Southeastern Has Seven Plants That Supply Bottles To Coca-Cola Bottlers On The United States  East Coast. Most Of The Coca-Cola Products Bottled IN The Eastern United States Will Go Into A Bottle Produced By Southeastern Container. Production Lines Change Preform Size Frequently To Respond To Demands From The Other Southeastern Facilities. The Company Is Headquartered IN Enka, N.C.",200,"$258,549,000",1982,Tom,Francis,President,Male,Bruce,Sampson,Manager,Male,Edward T,Mizell,Chairman,Male,Stephen,Mace,HR Executive,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southco-industries-inc,Southco Industries Inc,1840 E Dixon Blvd,Shelby,NC,28152,7044821477,7044822015,8003317655,Southcoindustries.Com,"Southco Industries, Established IN 1952, Serves The Utility, Construction And Tree Care Industries By Offering Quality Products To Accommodate Its Customers With Special Needs Such As Hydraulic Winches, Prentice Log Loaders, National Cranes, Compressors, And A Number Of Omaha Standard Service And Line Bodies. The Company Is The Equipment Dealer For The Industries Top Manufacturers Specializing IN Truck Equipment. Southco Industries Is Among The World's Leading Manufacturers Of Forestry Truck Bodies. Southco Forestry Body Packages Have Been Designed To Accommodate The Needs Of Its Customers IN The Tree Care Industry. The Standard Features Include Galvannealed Material (Zinc Coated And Rust Resistant), Lexan Lens Lighting Packages (Fmuss 108 Specifications), Weatherproof Toolboxes And Chipper Air Exhaust Vents. Southco Industries Is Located IN Shelby, N.C.",100,"$102,930,000",1952,Dennis,Goforth,CEO,Male,J Steve,Goforth,President,Male,Dennis G,Goforth,Vice President,Male,Teresa,Gantt,Cio/Cto,Female,Dennis G,Goforth,HR Executive,Male,Richard P,Goforth,Sales Exec,Male,Richard P,Goforth,Cmo,Male,Dennis G,Goforth,Finance Exec,Male,Sam S,Goforth,Purchase Exec,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
southbend,Southbend,1100 Old Honeycutt Rd,Fuquay Varina,NC,27526,9197621000,9195529798,8003482558,Buildmybattery.Com,"Middleby Corporation Is A Global Leader IN The Food Service Equipment Industry. It Serves Customers IN The Cooking, Packaging And Food Processing Industries. The Company Develops, Manufacturers, Markets And Services A Range Of Equipment Used For Cooking And Food Preparation IN Commercial Restaurants, Institutional Kitchens And Food Processing Operations Throughout The World. It Operates Through Food Processing And Commercial Food Service Equipment And International Distribution Divisions. The Company's Equipment Brands Include Blodgett, Blodgett Combi, Blodgett Range, Bloomfield And Carter Hoffman. Middleby Corporation Also Provides Equipment Under Various Other Brands, Such As Ctx, Holman, Houno, Jade, Lang, Magikitch'n, Middleby Marshall, Nu-Vu, Pitco Frialator And Southbend. Middleby Corporation Maintains A Location IN Fuquay-Varina, N.C.",130,"$32,126,000",,John,Perruccio,President,Male,Rob,Taylor,Director,Male,Jeremy,Saunders,Manager,Male,Kathy,Amir,HR Executive,Female,John,Perruccio,Sales Exec,Male,Kent,Hairr,Engr/Tech,Male,Phil,Vincenty,Engr/Tech,Male,Andy,Showerman,Purchase Exec,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
south/win-ltd,South/Win LTD,112 Maxfield Rd,Greensboro,NC,27405,3363985650,,8006484393,Southwinltd.Com,,170,$0,,William H,Dubose,President,Male,Blaine S,Dubose,Vice President,Male,Christina,Tucker,Manager,Female,William H,Dubose,Treasurer,Male,William H,Dubose,Board Member,Male,Mark T,Cain,Other,Male,Paige B,Dubose,Other,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonoco-products-co,Sonoco Products Co,3624 Old Mount Olive Hwy,Mount Olive,NC,28365,9196586791,9196584665,,Sonoco.Com,"Sonoco Products Company S Facility IN Mt. Olive, N.C., Is Among More Than 300 Sonoco Operations IN 35 Countries. Founded IN 1899 And Headquartered IN Hartsville, S.C., Sonoco Is A Global Manufacturer Of Industrial And Consumer Products And A Provider Of Packaging Services. Among Sonoco's Largest Products Are Engineered Carriers, Consisting Of Tubes And Cores. These Products Are Used For Winding And Transporting Such Items As Textiles, Paper, Film, Foil And Tape. The Company S Other Large Products Are Composite Cans. These Are Containers With Paperboard Bodies That Are Used A Variety Of Materials As Liners, Closures And Labels. IN Addition, Sonoco Makes Flexible Packaging, Corner Posts, Reels, Molded And Injection Molded Plastics, Folding Cartons And Coasters And Glass Covers.",150,"$17,869,000",,Kim,Bowers,Manager,Female,Ryan,Long,Mfg Exec,Male,Vicky,Sauls,HR Executive,Female,Mike,Hudson,Purchase Exec,Male,Robert,Swinson,Telecom Exec,Male,Meg,Reaves,Finance,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonoco-products-co,Sonoco Products Co,323 Pine St,Forest City,NC,28043,8282484001,8282456691,,Sonoco.Com,"Sonoco, Formerly Known As Southern Novelty Company, Is A Global Provider Of A Variety Of Commercial And Consumer Product Packaging. Founded IN 1899, Sonoco Manufactures Uncoated And Recycled Paperboards, Plastic And Composite Tubes And Cores And A Wide Range Of Industrial Products, Including Paper Mill Packaging, High-Technology Plastic Products, Custom-Designed Protective Packaging For Appliances And Wires, And Composite And Metal Reels. Sonoco's Consumer Packaging Portfolio Includes Round And Shaped Rigid-Paper And Plastic Packaging, Printed Flexible Packaging, Metal And Plastic Ends And Closures, Brand Artwork Management, Packaging Supply Chain Management, Fulfillment And Design, And Manufacturing, Assembly And Distribution Of High-Impact Point-Of-Purchase Displays. Headquartered IN Hartsville, S.C., The Company Has More Than 17,000 Employees IN Over 35 Different Countries IN Cities Such As Fitchburg, N.C.",110,"$17,828,000",1967,Joseph,Kohler,Director,Male,Glenda,Cahill,Manager,Female,Charles,Phillips,Manager,Male,Steve,Drummond,Mfg Exec,Male,Jamie,Scarbrough,HR Executive,Female,Steve,Drummond,Sales Exec,Male,Tom,Knapp,Cmo,Male,Steve,Drummond,Purchase Exec,Male,Bill,Morris,Operations,Male,Paul,Hluch,Telecom Exec,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonoco,Sonoco,340 Howell Mill Rd,Waynesville,NC,28786,8284520821,,8003772692,Sonoco.Com,,200,"$38,863,000",,Tony,Murphy,Manager,Male,Tony,Murphy,Mfg Exec,Male,Tamara,Birchfield,HR Executive,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soabar-co-graphics-div,Soabar Co Graphics Div,2100 Summit Ave,Greensboro,NC,27405,3362713850,,,,,300,"$62,688,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snyder's-lance-inc,Snyder's-Lance Inc,33292 Smith Plyler Rd,Albemarle,NC,28001,7049851334,,,Snyderslance.Com,,100,"$34,468,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snyder-packing,Snyder Packing,788 Harris St NW,Concord,NC,28025,7047827211,7047939165,,Snyderpkg.Com,"Founded IN 1925, Snyder Packaging Is A Manufacturer Of A Variety Of Storage And Packaging Products. The Company Provides A Range Of Services, Such As Art Creation, Structural Design, Customized Fabrication, Imprinting, Embossing, Sheeting, Die Cutting, Foil Stamping, Gluing, Folding, Window Patching, Inventory Management, Shipping And Customer Support. Its Additional Services Include Printing, Finishing, Warehousing And Distribution. IN Addition To Services, It Manufactures Boxes, Containers, Inserts, Folding Cartons, Blister Cards And Paperboard Packaging Products. The Company Specializes IN Product Design, Custom Printing And Packaging Services. It Operates Through Sales Representatives And Suppliers. Snyder Packaging Is Headquartered IN Concord, N.C.",100,"$24,613,000",1925,David S,Snyder,President,Male,William D,Snyder,Vice President,Male,George,Bercher,Manager,Male,Cindy,Griffin,Cio/Cto,Female,Linda,Lockhart,HR Executive,Female,W D,Snyder,Sales Exec,Male,Cynthia S,Griffin,Treasurer,Female,Dane,Boyd,Purchase Exec,Male,Mattie,Almond,Operations,Female,Jennifer S,Pagliaro,Other,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smurfit-stone-container-corp,Smurfit-Stone Container Corp,2600 E Market St,Greensboro,NC,27401,3362738201,,,Smurfit-Stone.Com,,125,"$15,794,000",1947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smurfit-stone-container-corp,Smurfit-Stone Container Corp,2606 Wilco Blvd S,Wilson,NC,27893,2522377121,2522918191,,Smurfit.Com,"Smurfit-Stone Container Corporation Is The World's Largest Paper Recycler, Annually Processing And Selling More Than 6.5 Million Tons. The Company Is One Of The Industry's Leading Integrated Manufacturers Of Paperboard And Paper-Based Packaging. Smurfit-Stone Is A Leading Producer Of Containerboard Including White Top Linerboard, Corrugated Containers, Multi-Walled And Specialty Bags And Clay-Coated Recycled Boxboard. IN Addition, Smurfit-Stone Container Corporation Is A Producer Of Solid Bleached Sulfate, Folding Cartons, Flexible Packaging, Labels And Point-Of-Purchase Displays. With Approximately 38,600 Employees Working At Nearly 260 Manufacturing Facilities, Smurfit-Stone Provides Paperboard And Packaging Products For Large And Small Businesses Throughout North America.",133,"$43,037,000",1968,Larry,Jones,Site Manager,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smiths-aerospace,Smiths Aerospace,2474 Surveyor St,Pope Army Airfield,NC,28308,9104360884,,,,,180,"$34,115,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smiths-aerospace,Smiths Aerospace,401 Sweeten Creek Ind Park,Asheville,NC,28803,8282744540,8282749381,,,,180,"$89,243,000",,Jack,Rockstad,Site Manager,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smithfield-elon,Smithfield-Elon,762 E Haggard Ave,Elon,NC,27244,3365841396,,,Smithfield.Com,,125,"$41,498,000",1961,Joe,Sokolowski,Manager,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smith-rowe-inc,Smith-Rowe Inc,639 Old US 52 S,Mount Airy,NC,27030,3367898221,3367896807,,Smithrowe.Com,,320,"$41,351,000",,David,Rowe,President,Male,Joseph,Phillips,Vice President,Male,Locke,Rowe,Vice President,Male,Jill,Cave,Director,Female,Rick,Wallace,Regional Mgr,Male,Jim,Workman,Regional Mgr,Male,David,Rowe,COO,Male,David,Rowe,HR Executive,Male,William F,Fulp,Controller,Male,David,Rowe,Purchase Exec,Male,Joseph,Plumpe,Marketing,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smi-ventures,SMI Ventures,200 Clanton Rd,Charlotte,NC,28217,7045231010,,,,,300,"$77,829,000",,Leigh,Derby,President,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slate-pharmaceuticals-inc,Slate Pharmaceuticals Inc,318 Blackwell St # 240,Durham,NC,27701,9196828800,,,Slatepharma.Com,,100,"$79,886,000",,Robert,Whitehead,Other,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slane-hosiery,Slane Hosiery,550 W Fairfield Rd,High Point,NC,27263,3364310378,3364310379,,Slanehosiery.Com,,150,"$15,062,000",,Kerry,Rice,President,,J P,Wright,Manager,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sjafb-boeing-aerospace,Sjafb-Boeing Aerospace,1948 Jabara Ave,Seymour Johnson AFB,NC,27531,9197364739,,,,,180,"$30,966,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simon-&-schuster-inc,Simon & Schuster Inc,1462 Thoroughbred Trl,Parkton,NC,28371,9104263504,,,Simonandschuster.Com,,175,"$25,320,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
silver-line-plastics-corp,Silver Line Plastics Corp,900 Riverside Dr,Asheville,NC,28804,8282528755,8282858901,8004389020,Slpipe.Com,"Silver-Line Plastics Corporation Was Founded IN 1962. Its First Home Was A Small Building Located Next To The Woodfin Grocery At The Intersection Of Riverside Drive And Elkwood Avenue IN The Mountains Of Asheville, N.C. The Company Was The First Pipe Manufacturer IN North America To Have A Fully-Computerized Blending Plant For Pvc Pipe. This Has Resulted IN An Improved Consistency Of Compound, Reduced Material Waste, Added Flexibility IN Production Output And An Overall Increase IN Productivity. Expanded Upon Eurpoean Technology To Create Coextruded Cellular Core Pipe As A Cost Effective Alternative To Solid Wall Pipe IN Non-Pressure Applications. Silver-Line Holds The U.S. Patent For The Extrusion Of Dual-Line Coex Cellular Core Products.",125,"$44,747,000",1962,Ricky,Silver,CEO,Male,Ricky C,Silver,President,Male,Brian,Dover,Vice President,Male,James,Rice,Vice President,Male,Tuck,Walker,Vice President,Male,Greg,Fain,Regional Mgr,Male,Eric,Walls,Regional Mgr,Male,Bryan,Dover,Manager,Male,Kevin,Frank,Manager,Male,Charles,Laws,Manager,Male,Luis,Rodriguez,Manager,Male,Vince,Whitt,Manager,Male,Charles J,Silver,Chairman,Male,William H,Beard,CFO,Male,Brian,Dover,HR Executive,Male,Tuck,Walker,Sales Exec,Male,Tuck,Walker,Cmo,Male,John,Pearson,Controller,Male,Bekah,Mumm,Marketing,Female,Pam,Leavell,Other,Female,Jayne,Mattiello,Other,Female,Belinda,Mumm,Other,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sigma-electric-mfg-corp,Sigma Electric Mfg Corp,120 Sigma Dr,Garner,NC,27529,9197730011,,,Sigmaelectric.Com,,300,$0,,Viren,Joshi,CEO,Male,Paul,Hirt,President,Male,Viren,Joshi,President,Male,Anand,Krishnan,Director,Male,Nilesh,Shrotri,Director,Male,William,Tolley,Director,Male,Amol,Pise,General Mgr,Male,Hardeep,Dhaliwal,Manager,Male,Pramod,Gaikwad,Manager,Male,Lucretia,Mckinney,Manager,Female,Ron,Smith,CFO,Male,Mark,Gogal,HR Executive,Male,Sharon,Jones,Sales Exec,Female,Michael,Cirone,Marketing Exec,Male,Woody,Jackson,Finance Exec,Male,Philip,Webster,IT Executive,Male,Tony,Felizzi,Purchase Exec,Male,Ben,Butler,Sales,Male,Neal,Driver,Sales,Male,Kendra,Wiest,Marketing,Female,Ganesh,Pawar,Operations,Male,Philip,Webster,Telecom Exec,Male,Tom,Armstrong,Board Member,Male,Linwood A,Jackson,Other,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sierra-pine-a-ca-lp,Sierra Pine A Ca LP,985 Corinth Rd,Moncure,NC,27559,9195422128,,,Uniboard.Com,"Sierrapine S Motto Is  Whatever It Takes.  The Company Specialized IN Composite Panels And Is One Of North America S Largest Multi-Density Fiberboard, Particleboard And Moulding Producers. All Of Sierrapine S Particleboard, Mdf And Moulding Products Are Certified By Scs For Their Recycled OR Recovered Wood Fiber Content. The Company Is Also A Proud Recipient For The Last Two Years Of California S Waste Reduction Award, Which Is Presented By The California Integrated Waste Management Board. Founded IN 1992, Sierrapine Maintains Facilities IN Moncure, N.C.",150,"$37,458,000",1974,Joe,Kofeman,CEO,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
